,Current Qtr.,Next Qtr.,Current Year,Next Year,Next 5 Years (per annum),Past 5 Years (per annum)
WWD,-50.30%,89.60%,-13.90%,29.60%,8.60%,13.90%
ABBV,18.20%,30.30%,17.90%,10.70%,4.77%,21.91%
ACET,57.90%,50.50%,56.10%,-11.80%,29.10%,
BMY,5.80%,16.00%,16.00%,7.50%,9.70%,21.58%
BSPM,,,,,,
EBS,"12,900.00%",25.30%,17.60%,-41.30%,9.20%,0.19%
ELAN,76.90%,177.80%,102.10%,38.90%,6.67%,
ENDP,-50.50%,-26.20%,-26.50%,0.50%,-6.45%,-14.78%
EYPT,57.30%,57.00%,51.70%,16.40%,,
GWPH,-50.00%,33.30%,123.30%,"1,109.50%",159.40%,
JNJ,0.90%,37.10%,18.40%,8.00%,5.60%,9.93%
KPTI,12.80%,1.60%,17.60%,58.50%,-30.30%,
LCI,-114.80%,-109.70%,-90.70%,300.00%,15.00%,-16.44%
LLY,25.10%,7.90%,5.40%,5.00%,11.60%,16.66%
MEIP,-275.00%,15.80%,2.00%,2.00%,-0.10%,
MRK,9.30%,16.10%,10.40%,11.00%,8.70%,8.65%
NEOS,100.00%,,-8.80%,83.80%,31.70%,
PAHC,-10.50%,64.70%,12.00%,2.50%,9.54%,-5.08%
PFE,-1.30%,11.50%,49.10%,-7.90%,10.07%,8.67%
PRGO,-50.00%,-38.80%,-32.20%,8.90%,10.00%,-13.31%
SUPN,-40.00%,-60.00%,-56.80%,21.60%,1.69%,59.19%
TEVA,-22.40%,10.90%,1.20%,5.40%,5.60%,-16.30%
TLRY,94.20%,86.20%,84.80%,37.50%,-4.20%,
TXMD,52.40%,52.60%,44.80%,70.30%,17.60%,
VERU,-200.00%,-20.00%,128.60%,"-1,600.00%",127.60%,-61.15%
ZGNX,-88.90%,6.20%,10.80%,52.90%,8.80%,
ZTS,7.40%,22.50%,14.80%,12.00%,11.43%,20.12%
ABC,2.90%,7.60%,8.40%,6.70%,9.20%,8.70%
CAH,-4.30%,17.30%,10.30%,3.50%,7.57%,2.40%
HSIC,-10.60%,,25.60%,8.30%,14.43%,6.98%
MCK,16.90%,49.50%,15.00%,9.50%,10.56%,3.44%
OMI,"2,375.00%",330.00%,45.10%,-7.30%,7.49%,-29.13%
PBH,-4.90%,-4.70%,9.10%,5.90%,4.00%,7.84%
PDCO,18.60%,30.30%,32.30%,2.00%,11.64%,-12.74%
ASPU,-33.30%,,37.90%,122.20%,40.00%,
FC,-325.00%,88.60%,105.00%,"1,433.30%",15.00%,18.34%
GHC,-33.80%,30.80%,-3.30%,62.20%,18.10%,7.41%
HMHC,79.40%,40.00%,81.30%,18.10%,5.00%,
LOPE,9.20%,5.80%,10.60%,10.70%,90.00%,17.78%
STRA,-26.10%,-14.10%,-10.00%,17.50%,10.85%,13.68%
ABG,101.10%,46.80%,14.00%,4.80%,18.50%,15.92%
ADNT,-21.00%,122.70%,"9,225.00%",30.10%,37.77%,-53.47%
ALSN,-20.00%,234.50%,42.80%,23.30%,32.78%,31.86%
ALV,72.70%,214.30%,116.20%,23.90%,31.49%,-2.39%
AN,103.30%,36.90%,7.90%,3.80%,9.00%,2.86%
APTV,22.10%,183.60%,92.80%,33.40%,43.37%,-0.15%
BWA,20.80%,792.90%,46.40%,18.10%,19.34%,8.97%
CARS,15.60%,216.70%,55.90%,10.10%,15.00%,
CPRT,34.50%,14.50%,24.10%,12.20%,22.30%,28.23%
CPS,60.60%,96.10%,94.60%,466.70%,-8.50%,-5.42%
CSL,-36.70%,36.00%,18.70%,23.10%,15.00%,12.82%
CVGI,350.00%,175.00%,"1,400.00%",74.40%,12.00%,39.47%
CWH,"1,933.30%",13.00%,14.20%,-2.40%,34.70%,-5.20%
DAN,,194.20%,494.90%,31.00%,71.61%,13.98%
DORM,57.60%,106.40%,30.10%,11.10%,15.00%,6.47%
F,165.20%,168.60%,180.50%,35.70%,27.66%,-0.69%
GM,56.50%,332.00%,5.70%,20.50%,11.84%,6.62%
GNTX,36.10%,"2,400.00%",42.70%,11.30%,15.80%,12.90%
GT,118.30%,90.90%,141.90%,98.70%,9.13%,-16.07%
HOG,95.60%,248.30%,"24,500.00%",17.90%,0.50%,-3.28%
KMX,-1.50%,"5,200.00%",-15.60%,27.10%,6.34%,16.36%
LAD,135.30%,30.90%,12.80%,17.00%,22.30%,15.88%
LEA,46.80%,182.10%,158.00%,28.60%,58.48%,14.11%
LKQ,10.50%,30.20%,9.00%,10.80%,33.50%,14.69%
MCFT,52.20%,720.00%,97.80%,16.60%,10.00%,30.86%
MNRO,262.50%,200.00%,-47.50%,85.70%,18.00%,5.48%
MTOR,-18.90%,231.90%,107.10%,61.60%,63.70%,28.04%
PII,613.60%,64.60%,12.80%,7.80%,15.00%,-0.54%
RUSHA,26.80%,135.50%,32.80%,16.60%,16.09%,26.25%
SAH,120.00%,64.60%,16.60%,16.50%,0.55%,1.30%
SMP,25.60%,-7.70%,-22.20%,10.70%,7.00%,6.89%
STRT,63.30%,158.70%,844.00%,-0.60%,15.00%,-52.96%
SUP,-8.00%,98.80%,86.90%,114.30%,2.00%,22.13%
TEN,306.50%,130.70%,827.30%,29.40%,4.42%,0.86%
THO,420.90%,29.40%,123.40%,6.90%,24.40%,13.45%
TSLA,226.10%,109.10%,83.50%,34.30%,32.10%,
VOXX,,,,,10.00%,-55.70%
WGO,110.40%,603.80%,126.70%,5.50%,15.00%,24.58%
ABM,15.00%,-5.30%,30.50%,0.60%,16.00%,1.19%
ADP,-5.70%,6.10%,-0.50%,10.20%,10.26%,16.37%
BAH,13.70%,7.50%,20.80%,6.30%,10.99%,17.34%
BR,,-0.50%,10.10%,8.80%,10.00%,24.69%
BV,450.00%,-2.40%,15.40%,16.20%,23.76%,
CLCT,,,,,20.00%,-30.61%
CLGX,58.50%,8.70%,,-0.70%,9.24%,11.36%
CNDT,120.00%,,-11.30%,9.10%,-24.00%,-11.26%
CTAS,68.10%,-0.40%,22.20%,2.90%,12.85%,22.20%
DLX,-3.70%,-6.10%,-2.40%,6.50%,7.50%,8.63%
DNB,,-7.70%,8.40%,11.70%,15.43%,
DXC,-41.70%,252.40%,-57.00%,43.30%,-9.11%,20.36%
EEFT,-23.60%,"2,375.00%",97.90%,47.80%,15.00%,19.76%
EFX,9.30%,-5.00%,-7.70%,22.70%,10.63%,6.69%
EPAM,17.50%,18.50%,17.00%,25.20%,21.10%,18.51%
EVTC,17.40%,42.10%,6.30%,10.50%,8.73%,2.24%
FIS,-3.10%,30.40%,16.30%,15.60%,13.97%,17.80%
FISV,15.20%,36.60%,22.60%,17.90%,18.79%,16.85%
FLT,-9.00%,28.90%,12.40%,17.10%,12.04%,18.34%
FORR,-51.40%,-26.20%,-2.50%,19.20%,10.00%,5.83%
G,-9.40%,3.80%,7.50%,13.60%,10.83%,14.55%
GPN,13.30%,44.30%,24.40%,16.00%,16.70%,18.85%
HCSG,,-12.90%,-15.90%,11.70%,9.00%,10.93%
HIL,,,,,25.00%,-1.55%
HURN,-18.20%,-19.10%,13.50%,16.40%,13.50%,-6.19%
INFO,6.10%,14.50%,10.90%,11.40%,11.32%,14.86%
IRM,-7.40%,36.40%,5.00%,14.40%,1.70%,-4.51%
JKHY,-10.40%,12.50%,1.00%,13.80%,10.02%,8.58%
MMS,90.70%,-14.40%,8.30%,15.80%,12.50%,13.21%
NLSN,13.80%,-14.60%,-10.20%,14.00%,-2.92%,-14.93%
PAYS,-80.00%,20.00%,-131.60%,333.30%,,
PAYX,-5.20%,8.20%,-2.00%,7.10%,4.50%,10.55%
ROL,22.20%,13.30%,14.80%,8.10%,8.20%,13.51%
SABR,-96.60%,66.20%,59.70%,122.70%,-32.33%,4.43%
SNX,-48.20%,6.60%,-42.80%,6.10%,9.23%,17.80%
SRT,113.00%,142.90%,145.50%,33.30%,5.00%,8.40%
TNET,-7.80%,-57.60%,-16.70%,18.10%,20.00%,35.73%
TU,1.70%,1.90%,3.90%,7.40%,4.68%,6.00%
VEC,,877.80%,24.20%,21.00%,,9.45%
VRSK,7.70%,3.90%,6.20%,11.00%,10.32%,10.93%
WEX,-10.50%,57.90%,35.80%,30.10%,28.05%,19.16%
ABMC,,,,,,
ABUS,8.00%,8.00%,14.00%,22.10%,,
ACAD,-1.80%,-88.90%,-16.20%,50.00%,25.00%,
ADVM,-19.40%,-13.90%,-21.70%,-19.00%,,
AGIO,-127.10%,-17.60%,-28.10%,-0.50%,40.00%,
AGLE,42.10%,15.00%,11.80%,9.00%,,
ALKS,-200.00%,66.70%,4.70%,108.90%,-14.10%,25.13%
ALNY,-7.40%,-5.10%,15.00%,51.10%,46.09%,
ALPN,-10.00%,41.50%,14.90%,7.90%,,
ALT,-80.80%,44.70%,-6.80%,134.30%,,
ALXN,-0.90%,6.40%,4.60%,11.20%,8.78%,17.70%
AMGN,-2.90%,2.40%,1.40%,8.30%,7.01%,10.84%
ANIK,-150.00%,87.00%,89.30%,605.60%,10.00%,4.69%
APVO,49.20%,-206.70%,67.10%,-16.00%,,
ARNA,-5.00%,-33.50%,-10.10%,9.80%,-20.20%,
ARVN,-39.30%,-26.20%,-11.60%,-17.50%,,
ARWR,35.00%,-53.80%,34.50%,1.80%,7.33%,
ATNX,-66.70%,18.00%,14.50%,16.30%,-30.64%,
AVEO,-5.80%,-9.50%,-22.90%,91.70%,,
AVXL,,-9.10%,-11.10%,-10.00%,,
BGNE,5.90%,26.90%,-13.60%,20.80%,24.00%,
BIIB,-44.70%,-53.80%,-45.30%,9.30%,-10.08%,16.89%
BLCM,81.80%,-175.20%,63.80%,65.10%,,
BLUE,17.30%,-722.20%,-15.90%,16.20%,-32.90%,
BMRN,-125.00%,12.50%,-110.20%,332.60%,32.16%,37.13%
BPMC,17.10%,22.40%,-215.90%,19.00%,22.27%,
BSTG,,,,,,
BTAI,-17.70%,3.80%,-16.40%,22.00%,-72.10%,
CALA,26.30%,13.80%,27.50%,,75.00%,
CASI,41.70%,22.20%,23.40%,33.30%,,
CCXI,-14.30%,-269.00%,-90.50%,76.90%,,
CHRS,-75.00%,-80.00%,-67.30%,56.60%,2.20%,
CORT,-16.00%,4.30%,14.10%,10.30%,-41.40%,133.39%
CRIS,,47.10%,36.10%,-10.30%,,
CRSP,-29.60%,-17.70%,-14.90%,-5.40%,-200.40%,
CSBR,100.00%,,142.90%,233.30%,15.00%,
CTMX,-226.90%,-8.80%,-121.10%,-24.20%,-0.90%,
CYCC,64.20%,6.90%,34.80%,-10.30%,,
DCPH,19.90%,14.20%,11.70%,37.20%,21.00%,
DVAX,86.70%,122.60%,178.70%,-66.10%,,
EPZM,-11.80%,,,25.80%,38.00%,
EXEL,-73.30%,-66.70%,20.00%,142.90%,46.00%,74.48%
FGEN,22.50%,46.30%,39.30%,-50.80%,,
FOLD,31.40%,-10.00%,20.60%,52.90%,-1.00%,
FPRX,41.60%,15.80%,41.10%,11.30%,-59.64%,
GBT,15.80%,-16.30%,6.40%,43.10%,37.00%,
GERN,,-33.30%,-21.40%,-5.90%,5.00%,
GILD,20.80%,58.60%,1.10%,-5.00%,3.26%,-12.10%
GLYC,-77.80%,3.10%,-14.30%,-9.40%,,
HALO,875.00%,94.70%,71.40%,70.50%,44.00%,
ICPT,49.00%,33.30%,37.30%,-5.40%,-8.89%,
IMGN,-11.80%,-28.60%,-208.00%,-1.30%,,
INCY,122.00%,-37.90%,878.60%,40.40%,20.89%,33.32%
INFI,36.80%,18.80%,22.10%,-11.30%,89.63%,19.94%
INVA,,,-16.30%,-11.80%,19.34%,74.15%
IONS,-31.40%,-73.90%,-354.30%,23.90%,98.00%,
ITCI,-8.20%,15.60%,0.30%,46.60%,223.50%,
JAZZ,715.60%,7.50%,30.20%,10.40%,11.40%,12.94%
LXRX,77.80%,76.90%,-17.00%,24.20%,54.70%,
MGNX,34.10%,53.20%,32.00%,-30.40%,-283.60%,
MNKD,,40.00%,35.00%,38.50%,35.60%,
MRNA,"1,017.10%","1,825.80%","1,214.80%",-31.90%,16.80%,
MRSN,-11.40%,-21.20%,-13.30%,-8.60%,,
MRTX,-5.40%,-16.40%,-9.50%,12.40%,-208.00%,
MTEM,112.50%,30.90%,35.00%,-21.70%,,
NBIX,41.00%,-14.80%,-26.20%,54.70%,33.20%,
NK,-10.50%,-5.00%,5.60%,-15.50%,-1.70%,
NKTR,9.00%,-64.40%,-20.10%,18.40%,-7.30%,
NVAX,-356.90%,930.00%,400.70%,53.40%,,
PBYI,109.30%,-525.00%,63.80%,50.90%,232.50%,
PSTI,23.80%,12.50%,10.60%,9.10%,,
PTE,78.90%,74.40%,76.20%,39.80%,15.00%,66.95%
RCUS,-27.00%,9.70%,-36.60%,-18.00%,,
REGN,52.60%,90.50%,42.30%,-11.30%,11.11%,21.60%
RGLS,64.00%,60.90%,22.20%,-5.70%,39.60%,
RGNX,-18.50%,-39.60%,-69.80%,-2.80%,2.00%,
RIGL,-100.00%,230.00%,88.90%,-900.00%,70.00%,
SESN,-125.80%,79.20%,-47.40%,117.90%,,
SGEN,37.80%,-383.30%,-164.10%,120.80%,236.60%,
SGMO,18.90%,-19.20%,-38.90%,-0.80%,-17.90%,
SPPI,17.10%,19.40%,-28.40%,27.50%,,63.03%
SRNE,197.20%,227.80%,246.20%,23.20%,37.00%,
SRPT,-713.00%,6.70%,-11.10%,40.30%,96.00%,
SURF,-155.40%,31.80%,-192.40%,-6.90%,,
SYRS,-17.90%,-15.80%,2.70%,1.10%,,
TECH,11.50%,54.00%,34.10%,16.70%,15.00%,8.09%
TGTX,,10.60%,14.90%,61.20%,,
UTHR,-5.40%,28.20%,10.90%,10.20%,-10.88%,1.35%
VRTX,5.50%,6.10%,9.30%,16.00%,18.33%,95.80%
VSTM,74.30%,35.70%,37.80%,-42.90%,1.74%,
VTVT,76.90%,42.90%,-172.20%,,,
VXRT,-400.00%,8.30%,-13.90%,63.40%,,-35.45%
XNCR,-378.60%,-14.80%,-123.10%,-5.20%,,
ZYNE,54.70%,70.50%,46.30%,-10.80%,,
ABMD,57.10%,12.20%,8.60%,2.30%,17.10%,60.37%
ABT,95.40%,122.80%,38.40%,5.90%,15.74%,8.15%
ACRX,60.00%,,38.30%,113.80%,,
AHPI,,,,,,-25.84%
ALGN,172.60%,720.00%,74.10%,25.20%,28.41%,32.56%
ARAY,-100.00%,100.00%,66.70%,80.00%,-259.10%,-25.46%
AVGR,89.40%,77.80%,63.00%,,,
AXGN,21.10%,20.00%,-23.70%,48.90%,,-53.59%
BSX,7.10%,337.50%,60.40%,18.20%,6.55%,14.55%
CRY,225.00%,450.00%,8.00%,29.60%,2.00%,-2.96%
CSII,-25.00%,90.70%,75.90%,63.20%,104.20%,
DYNT,53.80%,72.20%,50.00%,61.90%,,-57.36%
ELMD,-28.60%,100.00%,-10.80%,45.50%,15.00%,90.50%
EW,-4.00%,52.90%,14.50%,16.00%,12.99%,25.79%
GMED,27.60%,500.00%,27.80%,16.80%,12.94%,11.48%
HAE,,65.20%,-22.10%,43.40%,10.00%,11.99%
HNGR,17.90%,-5.70%,79.40%,8.80%,10.00%,-18.89%
IART,18.70%,103.00%,18.00%,15.20%,12.74%,13.82%
ISRG,-1.10%,160.40%,23.20%,22.10%,9.14%,20.66%
LIVN,-54.50%,326.70%,16.50%,47.30%,30.50%,3.42%
MASI,-9.30%,9.40%,5.80%,13.60%,11.90%,21.73%
MDT,144.80%,111.30%,-5.40%,31.80%,9.08%,6.57%
MDXG,,,50.60%,60.50%,15.00%,31.85%
NSPR,90.70%,80.00%,58.70%,10.50%,,
NURO,,,,,15.00%,
NUVA,-27.10%,225.00%,82.90%,21.80%,20.27%,18.98%
PEN,,143.30%,563.60%,111.00%,28.80%,93.21%
RSLS,,,47.40%,14.60%,0.24%,
RWLK,81.10%,68.20%,65.90%,7.10%,,
SPNE,29.20%,42.00%,27.70%,20.90%,-8.80%,
SYK,8.20%,226.60%,22.10%,13.00%,12.39%,11.54%
TCMD,-114.30%,104.20%,"1,433.30%",117.50%,5.00%,29.42%
TFX,-10.70%,51.80%,18.70%,16.40%,11.00%,15.17%
TNDM,36.00%,80.00%,100.00%,,53.20%,
VAR,38.80%,69.20%,33.20%,14.60%,9.90%,2.21%
ZYXI,-122.20%,-33.30%,34.60%,108.60%,,-10.70%
ANGI,-100.00%,-150.00%,-200.00%,500.00%,52.29%,-34.31%
BNFT,47.60%,57.70%,40.60%,100.00%,20.00%,
CARG,15.80%,15.80%,-15.00%,23.10%,27.35%,
CRTO,-3.80%,33.30%,0.50%,1.80%,-4.87%,19.45%
FB,38.60%,40.00%,12.30%,19.50%,21.50%,42.12%
GDDY,33.30%,108.10%,153.40%,29.90%,80.00%,-17.05%
GOOG,61.10%,57.30%,19.10%,16.40%,16.95%,
GRPN,59.50%,67.70%,117.20%,968.80%,-19.90%,-10.82%
GRUB,,158.80%,250.00%,150.80%,62.06%,23.01%
IAC,83.40%,61.90%,-144.80%,106.80%,37.69%,16.63%
IPDN,,,,,,
LEAF,37.50%,-466.70%,-50.00%,-33.30%,15.00%,-79.75%
LOV,,,,,,
LTRPA,,,,,,
MARK,85.00%,20.00%,79.30%,-25.00%,,
MTCH,-27.30%,68.80%,338.80%,30.20%,6.86%,37.58%
PINS,170.00%,242.90%,102.40%,47.10%,240.09%,
QNST,23.10%,7.10%,22.00%,19.70%,25.00%,78.24%
SNAP,37.50%,77.80%,350.00%,293.30%,67.40%,
SOHU,202.10%,123.00%,164.20%,20.80%,-94.10%,-25.12%
SSTK,169.20%,9.70%,3.40%,10.00%,22.10%,3.20%
TCX,,,,,29.00%,9.38%
TGLO,,,,,,
TRUE,-225.00%,-175.00%,-136.80%,142.90%,53.00%,
TTGT,94.70%,42.90%,33.30%,5.50%,20.00%,19.30%
TWTR,27.30%,112.20%,205.70%,32.60%,0.43%,51.68%
TZOO,77.80%,133.30%,300.00%,123.30%,19.80%,2.40%
UPWK,55.60%,44.40%,26.30%,92.90%,-0.04%,
VRSN,-54.90%,-1.50%,-24.60%,15.40%,8.00%,15.89%
YELP,-18.20%,48.50%,-22.20%,233.30%,-5.50%,26.44%
ACA,-67.60%,-17.80%,-20.80%,30.40%,4.90%,
ACM,16.40%,27.30%,26.00%,15.90%,22.96%,-0.75%
AGX,202.20%,"1,080.00%",149.80%,78.70%,10.00%,-5.30%
ATOM,22.70%,14.30%,8.90%,6.90%,,
CFX,2.60%,488.90%,50.70%,14.70%,22.01%,5.87%
DY,-47.20%,8.50%,20.10%,38.70%,20.00%,-3.34%
EME,-6.70%,4.20%,,7.80%,15.00%,21.64%
ENG,,,,,,-70.19%
FIX,20.80%,-12.00%,-17.60%,8.60%,10.00%,30.06%
FLOW,483.30%,122.70%,46.90%,23.60%,24.70%,33.46%
FLR,103.70%,172.20%,117.70%,105.50%,-6.69%,-15.52%
FOXF,57.70%,60.00%,17.80%,16.80%,15.00%,30.47%
GNRC,112.60%,52.90%,33.10%,8.50%,8.00%,14.93%
ITT,8.70%,52.60%,15.60%,14.60%,13.90%,9.03%
LEGH,2.70%,13.90%,1.30%,,,
LMB,-112.50%,"1,100.00%",339.30%,3.00%,20.00%,
MTZ,20.00%,13.70%,-4.50%,10.70%,-1.69%,57.72%
NWPX,-48.50%,2.20%,-11.80%,31.60%,10.00%,8.15%
ROG,94.60%,59.30%,46.10%,15.60%,20.00%,17.99%
SGMS,73.40%,89.30%,94.50%,654.50%,-74.14%,-58.23%
SSD,2.40%,-1.60%,-1.60%,12.10%,5.00%,22.81%
TER,5.00%,,4.10%,8.90%,12.76%,25.67%
TTEK,1.40%,12.80%,8.60%,9.30%,15.00%,17.71%
VC,585.70%,135.40%,217.50%,89.90%,112.61%,-9.49%
WSO,23.60%,15.50%,6.10%,6.20%,15.00%,10.99%
ACGL,52.20%,"1,825.00%",122.80%,21.10%,7.41%,14.32%
TRUP,-100.00%,-200.00%,-18.80%,100.00%,15.00%,
ACHC,7.10%,11.10%,-15.10%,15.30%,12.71%,0.58%
ADUS,-5.20%,24.70%,14.30%,14.80%,15.00%,17.76%
AMED,36.20%,13.40%,3.90%,15.10%,17.26%,36.34%
BKD,-119.80%,28.80%,-452.30%,36.80%,10.00%,-1.88%
CHE,9.20%,-5.40%,-4.50%,9.30%,6.95%,18.23%
CSU,2.10%,92.80%,-372.00%,95.80%,10.30%,-43.31%
DVA,-2.20%,7.20%,13.40%,12.60%,16.13%,2.16%
EHC,-5.70%,167.70%,20.80%,17.20%,7.43%,17.29%
HCA,41.60%,-8.70%,9.10%,12.50%,12.25%,16.41%
LHCG,66.70%,17.90%,16.60%,15.40%,14.64%,23.82%
MD,-59.40%,6.30%,35.80%,24.00%,1.29%,-1.21%
MGLN,168.00%,-28.60%,289.60%,33.70%,-1.30%,18.17%
NVTA,26.30%,26.00%,20.90%,22.70%,8.00%,
OTRK,24.40%,-8.10%,-5.60%,29.60%,30.00%,
TDOC,-60.00%,-58.80%,63.80%,51.50%,-0.92%,
TVTY,358.30%,-55.70%,3.40%,10.60%,-5.81%,69.19%
UHS,32.40%,-10.20%,-4.40%,14.00%,6.03%,10.20%
ACIA,91.70%,24.10%,55.90%,11.40%,-12.00%,-19.47%
ADTN,180.00%,200.00%,53.80%,42.50%,2.30%,-0.72%
AVNW,87.20%,4.00%,180.10%,3.10%,12.00%,-29.43%
BKTI,,,,,22.50%,-5.90%
CAMP,66.70%,150.00%,-72.70%,258.30%,12.00%,-5.72%
CIEN,-35.50%,-28.30%,-9.50%,16.10%,7.10%,13.06%
CLFD,240.00%,-9.10%,62.30%,31.40%,,1.10%
CMTL,118.80%,"1,050.00%","-1,067.90%",140.20%,17.00%,-5.62%
COMM,141.70%,40.60%,18.60%,19.50%,24.40%,3.22%
CSCO,3.80%,6.20%,,6.20%,6.60%,7.76%
EXTR,192.90%,433.30%,410.00%,33.30%,20.00%,10.62%
FEIM,,,,,15.00%,-17.94%
FKWL,,,,-9.40%,,
HEAR,300.00%,-102.40%,-40.10%,26.30%,16.00%,
HPE,90.90%,31.20%,35.60%,4.40%,12.51%,-3.67%
INFN,77.80%,77.80%,131.60%,566.70%,5.00%,122.03%
IRDM,79.20%,44.40%,66.70%,128.60%,10.00%,-7.79%
ITI,-100.00%,-92.00%,285.70%,-46.20%,30.00%,
JNPR,8.70%,5.70%,5.80%,12.80%,6.65%,-0.59%
LITE,11.10%,6.80%,18.50%,7.60%,14.60%,48.87%
LTRX,50.00%,50.00%,66.70%,73.30%,20.00%,
MSI,8.70%,25.20%,12.10%,11.00%,5.88%,25.25%
NTGR,214.30%,37.00%,12.50%,11.40%,54.79%,-1.36%
OCC,,,,,,144.95%
SATS,92.90%,125.00%,175.60%,-129.00%,5.00%,-25.47%
SLAB,8.70%,12.20%,13.60%,13.50%,12.60%,12.55%
SMCI,-44.00%,17.60%,-11.60%,39.20%,10.00%,21.99%
TESS,85.50%,59.30%,42.30%,54.80%,10.00%,-4.13%
WSTL,,,,,2.50%,-10.52%
ACIW,57.10%,50.00%,83.90%,15.80%,12.00%,-4.36%
ADBE,22.50%,10.20%,11.50%,18.00%,16.37%,45.88%
ADSK,10.60%,16.30%,22.50%,39.50%,31.04%,8.69%
AGYS,200.00%,125.00%,239.10%,,0.05%,9.02%
AKAM,8.30%,-2.90%,3.40%,9.30%,10.44%,12.79%
ALRM,-9.50%,,-5.70%,15.20%,20.00%,42.71%
ALTR,31.20%,250.00%,58.10%,16.30%,50.17%,
AMSWA,150.00%,-44.40%,28.60%,-3.70%,16.00%,-1.26%
ANSS,1.20%,0.60%,0.70%,13.50%,8.00%,15.00%
APPF,,-64.80%,-89.60%,65.20%,25.00%,58.61%
APPS,260.00%,53.80%,240.00%,41.20%,50.00%,
ATVI,20.70%,-21.60%,5.20%,16.70%,17.83%,11.89%
AWRE,,,,,,32.29%
AYX,-130.00%,"-1,100.00%",-97.90%,"2,450.00%",10.70%,
AZPN,50.00%,12.30%,46.50%,-5.30%,16.00%,23.26%
BKI,10.60%,5.80%,4.30%,13.60%,9.59%,21.29%
BL,-50.00%,-60.00%,-47.40%,70.00%,25.00%,
BLKB,21.60%,-16.50%,-7.10%,7.70%,-6.90%,14.61%
BOX,70.00%,5.60%,14.30%,25.00%,8.00%,
BSQR,,,,,,8.96%
CACI,16.80%,0.80%,21.10%,7.50%,12.91%,18.13%
CALX,575.00%,14.30%,-6.30%,34.80%,20.00%,-53.42%
CDAY,-40.00%,-30.80%,-18.00%,56.10%,11.44%,
CDK,-9.20%,13.60%,-6.20%,12.00%,10.00%,27.67%
CDNS,25.00%,15.20%,7.50%,10.60%,11.10%,18.88%
CDW,9.40%,14.70%,7.60%,10.70%,11.59%,21.34%
CERN,4.20%,20.60%,11.30%,12.30%,11.51%,6.87%
CLDR,60.00%,-10.00%,-13.30%,30.80%,78.40%,
COUP,-195.00%,-142.90%,-132.50%,340.00%,24.90%,
CPSI,-9.80%,51.30%,11.30%,14.60%,11.55%,1.75%
CRM,25.70%,-41.00%,-30.30%,20.70%,12.92%,45.87%
CRWD,200.00%,100.00%,11.10%,96.70%,25.00%,
CSGS,-6.90%,35.60%,3.50%,3.10%,-5.00%,7.69%
CSLT,,-200.00%,-180.00%,125.00%,30.00%,
CSOD,87.00%,25.00%,18.00%,21.00%,15.50%,70.27%
CTSH,-2.10%,18.30%,16.40%,10.30%,2.34%,11.17%
CTXS,-17.30%,0.70%,4.30%,15.60%,10.70%,9.85%
CVLT,56.70%,-3.90%,38.60%,19.90%,10.00%,12.31%
DBD,158.80%,-7.90%,170.50%,16.10%,3.00%,-30.63%
DBX,76.50%,40.90%,36.60%,12.60%,16.80%,
DMRC,24.30%,14.50%,16.70%,1.90%,20.00%,42.70%
DOCU,133.30%,70.60%,45.60%,43.50%,50.00%,
DOMO,33.80%,-8.10%,9.80%,36.50%,,
EA,-2.80%,-57.00%,15.60%,10.30%,14.52%,9.30%
